IdReporte;CodigoPdv;NombrePdv;TiempoPos;TiempoTotal
22;268;PLUS No. 2 COUNTRY;03/07/2015 15:20;61
22;268;PLUS No. 2 COUNTRY;03/07/2015 15:30;18
22;268;PLUS No. 2 COUNTRY;03/07/2015 15:46;41
22;268;PLUS No. 2 COUNTRY;03/07/2015 15:50;51
22;229;HEROES 1;03/07/2015 15:59;43
22;268;PLUS No. 2 COUNTRY;03/07/2015 16:26;20
22;268;PLUS No. 2 COUNTRY;03/07/2015 16:40;14
22;268;PLUS No. 2 COUNTRY;03/07/2015 16:46;11
22;237;COUNTRY 2;03/07/2015 16:47;45
22;237;COUNTRY 2;03/07/2015 17:08;76
22;268;PLUS No. 2 COUNTRY;03/07/2015 17:35;74
22;229;HEROES 1;03/07/2015 17:39;64
22;229;HEROES 1;03/07/2015 17:58;54
22;268;PLUS No. 2 COUNTRY;03/07/2015 18:08;68
22;268;PLUS No. 2 COUNTRY;03/07/2015 18:23;53
22;268;PLUS No. 2 COUNTRY;03/07/2015 18:35;52
22;268;PLUS No. 2 COUNTRY;03/07/2015 18:40;50
22;268;PLUS No. 2 COUNTRY;03/07/2015 19:05;78
22;237;COUNTRY 2;03/07/2015 19:17;80
22;237;COUNTRY 2;03/07/2015 19:20;51
22;237;COUNTRY 2;03/07/2015 19:20;55
22;268;PLUS No. 2 COUNTRY;03/07/2015 19:30;109
22;268;PLUS No. 2 COUNTRY;03/07/2015 19:41;44
22;268;PLUS No. 2 COUNTRY;03/07/2015 19:50;66
22;268;PLUS No. 2 COUNTRY;03/07/2015 19:57;49
22;268;PLUS No. 2 COUNTRY;03/07/2015 19:59;33
22;237;COUNTRY 2;03/07/2015 20:14;1003
22;268;PLUS No. 2 COUNTRY;03/07/2015 20:29;68
22;268;PLUS No. 2 COUNTRY;03/07/2015 20:50;51
22;268;PLUS No. 2 COUNTRY;03/07/2015 21:09;66
22;268;PLUS No. 2 COUNTRY;03/07/2015 21:20;125
22;268;PLUS No. 2 COUNTRY;03/07/2015 21:30;83
22;268;PLUS No. 2 COUNTRY;03/07/2015 21:31;54
22;268;PLUS No. 2 COUNTRY;03/07/2015 22:04;69
22;268;PLUS No. 2 COUNTRY;03/07/2015 22:11;66
22;268;PLUS No. 2 COUNTRY;03/07/2015 22:18;66
22;268;PLUS No. 2 COUNTRY;03/07/2015 22:26;49
22;268;PLUS No. 2 COUNTRY;03/07/2015 22:33;687
22;268;PLUS No. 2 COUNTRY;03/07/2015 23:02;28
22;268;PLUS No. 2 COUNTRY;03/07/2015 23:15;22
22;268;PLUS No. 2 COUNTRY;03/07/2015 23:58;12
22;268;PLUS No. 2 COUNTRY;04/07/2015 01:13;16
22;268;PLUS No. 2 COUNTRY;04/07/2015 01:22;15
22;268;PLUS No. 2 COUNTRY;04/07/2015 01:38;22
22;268;PLUS No. 2 COUNTRY;04/07/2015 02:14;13
22;268;PLUS No. 2 COUNTRY;04/07/2015 02:34;159
22;268;PLUS No. 2 COUNTRY;04/07/2015 03:32;104
22;268;PLUS No. 2 COUNTRY;04/07/2015 04:31;48
22;268;PLUS No. 2 COUNTRY;04/07/2015 05:02;32
22;268;PLUS No. 2 COUNTRY;04/07/2015 05:16;19
22;268;PLUS No. 2 COUNTRY;04/07/2015 05:49;49
22;268;PLUS No. 2 COUNTRY;04/07/2015 06:29;29
22;229;HEROES 1;04/07/2015 08:20;990
22;268;PLUS No. 2 COUNTRY;04/07/2015 08:31;66
22;268;PLUS No. 2 COUNTRY;04/07/2015 09:01;41
22;268;PLUS No. 2 COUNTRY;04/07/2015 09:33;26
22;229;HEROES 1;04/07/2015 09:42;0
22;268;PLUS No. 2 COUNTRY;04/07/2015 09:47;49
22;237;COUNTRY 2;04/07/2015 10:15;93
22;268;PLUS No. 2 COUNTRY;04/07/2015 10:24;26
22;268;PLUS No. 2 COUNTRY;04/07/2015 10:45;76
22;268;PLUS No. 2 COUNTRY;04/07/2015 10:46;63
22;229;HEROES 1;04/07/2015 11:01;49
22;268;PLUS No. 2 COUNTRY;04/07/2015 11:01;51
22;237;COUNTRY 2;04/07/2015 11:17;51
22;229;HEROES 1;04/07/2015 11:20;245
22;268;PLUS No. 2 COUNTRY;04/07/2015 11:30;76
